"x"
13
20
32
33
34
15
24
14
46
33
12
16
31
45
47
33
38
19
31
20
37
13
44
31
28
24
18
23
17
40
24
28
23
31
24
22
30
17
27
12
35
19
22
28
30
35
35
30
40
24
35
11
22
17
27
16
23
25
35
22
12
35
12
18
22
14
18
50
16
36
17
27
21
24
23
18
33
32
21
24
28
37
35
24
25
44
30
15
30
12
25
37
11
37
15
23
37
13
35
24
21
33
29
32
14
17
22
33
37
16
11
25
20
20
23
24
16
18
20
23
20
21
25
26
26
32
36
30
25
16
17
11
22
30
18
25
30
34
29
18
38
16
32
24
37
29
12
28
16
39
25
35
23
37
20
25
26
16
21
18
29
27
12
21
19
21
38
22
33
23
17
30
21
39
26
25
27
21
19
27
26
17
14
26
23
24
44
31
20
27
31
38
26
42
30
28
28
19
23
20
16
20
44
26
22
17
24
38
31
23
16
29
24
23
29
31
24
14
36
30
12
20
27
24
24
24
19
37
30
40
30
33
23
24
34
36
25
16
26
32
28
41
30
29
20
42
31
21
21
29
35
34
33
18
15
36
17
20
22
20
26
35
26
23
23
33
47
32
22
16
27
26
22
37
30
37
23
26
12
13
29
20
31
